eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 5276,Shipping,7905,Jungheinrich Forklift #2,3101,Jungheinrich,EFX413,Thompson and Johnson,0,3/15/2024 6:56 AM
EQ ID 5274,Shipping,7905,Lantech Stretch Wrap Machine,3150,Lantech,Q300XT,Jake/Matt,0,3/15/2024 6:37 AM
EQ ID 1793,Shipping,7905,Platform Stretch Wrapper,11339,ArPac Group,Pro-Series Low Profile,Jake/Matt,0,3/15/2024 6:19 AM
EQ ID 5270,Facilites,4304,100HP VSD Air Compressor,3148,Ingersol Rand,RS75-A,Air Compressor Engineering,0,2/9/2024 6:37 AM
EQ ID 5001,Facilites,4304,125hp VSD Air Compressor,,Ingersol Rand,R90N-A,Air Compressor Engineering,0,2/9/2024 6:28 AM
EQ ID 5025,Grab Bars,1145,Line 3 Flange Pounder,,Pounder,Pounder,Jake/Matt,0,1/12/2024 3:45 AM
EQ ID 5262,Quality Assurance,27,Digimatic Caliper,,Mitutoyo,"CD-6""ASX",Jake/Matt,0,1/9/2024 11:24 AM
EQ ID 5216,Grab Bars,1145,Argon Bulk tank O2 sensor,,Macurco,OX-6,AIRGAS,0,6/6/2023 9:20 AM
EQ ID 5206,Toilet Partitions,1170,General Maintenance ( TOILET PARTITIONS ),,0,0,Jake/Matt,0,2/9/2023 3:02 AM
EQ ID 5207,Tube Mill,1180,General Maintenance ( TUBE MILL ),,0,0,Jake/Matt,0,2/9/2023 3:01 AM
EQ ID 752,Facilites,4304,General Maintenance ( MISC. ),,0,0,Jake/Matt,0,2/9/2023 2:58 AM
EQ ID 751,Shipping,7905,General Maintenance ( SHIPPING ),,0,0,Jake/Matt,0,2/9/2023 2:57 AM
EQ ID 5205,Shower Seats,1140,General Maintenance ( SHOWER SEATS ),,0,0,Jake/Matt,0,2/9/2023 2:56 AM
EQ ID 5204,Grab Bars,1145,General Maintenance ( GRAB BARS ),,0,0,Jake/Matt,0,2/9/2023 2:55 AM
EQ ID 5203,Facilites,4304,General Maintenance ( OFFICE ),,0,0,Jake/Matt,0,2/9/2023 2:54 AM
EQ ID 5020,Facilites,4304,Manufacturing Mens Room,,0,0,Jake/Matt,0,2/9/2023 2:50 AM
EQ ID 5019,Facilites,4304,Manufacturing Womens Room,,0,0,Jake/Matt,0,2/9/2023 2:49 AM
EQ ID 1639,Maintenance,2110,Boom Lift,,Genie,Z-30/20N,Thompson and Johnson,0,1/31/2023 8:58 AM
EQ ID 5199,Grab Bars,1145,Line 1+3.5 Shrink Tech Systems,,STS,STS-1712/PB,Shrink Tech System,0,1/27/2023 7:37 AM
EQ ID 5198,Grab Bars,1145,Line 2+3 Shrink Tech Systems,,STS,STS-1712/6 PB,Shrink Tech System,0,1/27/2023 7:34 AM
EQ ID 5197,Facilites,4304,Floor Drain Tanks,,TBD,TBD,Drain Care,0,1/27/2023 4:21 AM
EQ ID 5194,Facilites,4304,Grinder pump 1 + 2,,TBD,TBD,Siewert Equipment,0,1/27/2023 4:14 AM
EQ ID 2036,Toilet Partitions,1170,Hot Pinch rollers,11613,Black Bros,Panel Express,,0,4/2/2022 10:16 AM
EQ ID 2115,Grab Bars,1145,Line 4 Intermediate Post Machine (ACA),,,,,0,4/2/2022 10:16 AM
EQ ID 5027,Grab Bars,1145,Line 4 Manual Welder (Miller),,,,,0,4/2/2022 10:16 AM
EQ ID 5028,Grab Bars,1145,Grab Bar Post Finishing Machine (Intec),,,,,0,4/2/2022 10:16 AM
EQ ID 1759,Toilet Partitions,1170,Plant Wide Dust Collector with Ducting,11556,"Donaldson, AB Flowtech, VBI LLC",,,0,4/2/2022 10:16 AM
EQ ID 1762,Shower Seats,1140,Robotic Finishing System,16115,Pinnacle Technologies,Intec,,0,4/2/2022 10:16 AM
EQ ID 1781,Toilet Partitions,1170,Spark Detector Dust Collection,,Hansentek,AN104,,0,4/2/2022 10:16 AM
EQ ID 2008,Grab Bars,1145,Line 5 Automated Grab Bar Cell - Bend Trim,11647,Transfluid,Bend - Trim,,1,4/2/2022 10:16 AM
EQ ID 5002,Facilites,4304,Compressed Air Dryer #2,,,,,0,4/2/2022 10:16 AM
EQ ID 5003,Facilites,4304,Heater - Cambridge Addition,,,,,0,4/2/2022 10:16 AM
EQ ID 5004,Facilites,4304,Heater - Cambridge Factory,,,,,0,4/2/2022 10:16 AM
EQ ID 5005,Facilites,4304,Heater - Cambridge Shipping,,,,,0,4/2/2022 10:16 AM
EQ ID 5006,Facilites,4304,Overhead Door/Leveler - Bay 1,,,,,0,4/2/2022 10:16 AM
EQ ID 5007,Facilites,4304,Overhead Door/Leveler - Bay 2,,,,,0,4/2/2022 10:16 AM
EQ ID 5008,Facilites,4304,Overhead Door/Leveler - Bay 3,,,,,0,4/2/2022 10:16 AM
EQ ID 5009,Facilites,4304,Overhead Door/Leveler - Bay 4,,,,,0,4/2/2022 10:16 AM
EQ ID 5010,Facilites,4304,Overhead Door/Leveler - Bay 5,,,,,0,4/2/2022 10:16 AM
EQ ID 5011,Facilites,4304,Overhead Door/Leveler - Bay 6,,,,,0,4/2/2022 10:16 AM
EQ ID 5012,Facilites,4304,Large Overhead Door/Leveler - Bay 7,,,,,0,4/2/2022 10:16 AM
EQ ID 5013,Facilites,4304,Overhead Door/Leveler - Bay 8,,,,,0,4/2/2022 10:16 AM
EQ ID 5014,Facilites,4304,Overhead Door/Leveler - Bay 9,,,,,0,4/2/2022 10:16 AM
EQ ID 5015,Facilites,4304,Large Overhead Door/Leveler - Bay 10,,,,,0,4/2/2022 10:16 AM
EQ ID 5016,Facilites,4304,Front Office Area,,,,,0,4/2/2022 10:16 AM
EQ ID 5017,Facilites,4304,Front Office Womens Room,,,,,0,4/2/2022 10:16 AM
EQ ID 5018,Facilites,4304,Front Office Mens Room,,,,,0,4/2/2022 10:16 AM
EQ ID 342,Shower Seats,1140,Spot Welder,,Spotwelding Consultants Inc.,AR-450,,0,4/2/2022 10:16 AM
EQ ID 735,Toilet Partitions,1170,1040 Finishing Machine,,Tecnolegno,Universal 300,,0,4/2/2022 10:16 AM
EQ ID 757,Toilet Partitions,1170,Dust Collector,,IAC,120BHI-A3-81:60S,,1,4/2/2022 10:16 AM
EQ ID 758,Facilites,4304,Emergency Generator,,Onan,,,2,4/2/2022 10:16 AM
EQ ID 759,Facilites,4304,Compressed Air Dryer #1,,Ingersoll-Rand,NVC-500A400,,0,4/2/2022 10:16 AM
EQ ID 766,Facilites,4304,Overhead Fire Doors,,,,,1,4/2/2022 10:16 AM
EQ ID 1567,Shower Seats,1140,Welding Power Pack,,Miller,210,,0,4/2/2022 10:16 AM
